Ref,Rank,Player_ref,Player,Player Image Link,Team_ref,Team,Team Flag Link,Matches,Points,Year,Month,Format,Category
lrODIsBatsmen2023_001,1,p00001,firstname lastname lrODIs Batsmen1,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/au.png,t001,Australia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/au.png,11,99,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_002,2,p00002,firstname lastname lrODIs Batsmen2,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-eng.png,t002,England,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-eng.png,14,98.01,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_003,3,p00003,firstname lastname lrODIs Batsmen3,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/za.png,t003,South Africa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/za.png,27,97.03,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_004,4,p00004,firstname lastname lrODIs Batsmen4,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/wi.png,t004,West Indies,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/wi.png,49,96.06,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_005,5,p00005,firstname lastname lrODIs Batsmen5,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nz.png,t005,New Zealand,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nz.png,12,95.1,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_006,6,p00006,firstname lastname lrODIs Batsmen6,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/in.png,t006,India,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/in.png,46,94.15,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_007,7,p00007,firstname lastname lrODIs Batsmen7,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pk.png,t007,Pakistan,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pk.png,45,93.21,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_008,8,p00008,firstname lastname lrODIs Batsmen8,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/lk.png,t008,Sri Lanka,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/lk.png,40,92.27,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_009,9,p00009,firstname lastname lrODIs Batsmen9,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ca.png,t001,Canada,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ca.png,23,91.35,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_010,10,p00010,firstname lastname lrODIs Batsmen10,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/zw.png,t002,Zimbabwe,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/zw.png,30,90.44,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_011,11,p00011,firstname lastname lrODIs Batsmen11,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bd.png,t003,Bangladesh,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bd.png,48,89.53,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_012,12,p00012,firstname lastname lrODIs Batsmen12,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ae.png,t004,United Arab Emirates,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ae.png,42,88.64,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_013,13,p00013,firstname lastname lrODIs Batsmen13,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nl.png,t005,Netherlands,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nl.png,41,87.75,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_014,14,p00014,firstname lastname lrODIs Batsmen14,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ke.png,t006,Kenya,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ke.png,22,86.87,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_015,15,p00015,firstname lastname lrODIs Batsmen15,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-sct.png,t007,Scotland,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-sct.png,50,86.01,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_016,16,p00016,firstname lastname lrODIs Batsmen16,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/na.png,t008,Namibia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/na.png,20,85.15,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_017,17,p00017,firstname lastname lrODIs Batsmen17,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hk.png,t001,Hong Kong,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hk.png,37,84.29,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_018,18,p00018,firstname lastname lrODIs Batsmen18,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/us.png,t002,United States of America,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/us.png,33,83.45,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_019,19,p00019,firstname lastname lrODIs Batsmen19,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bm.png,t003,Bermuda,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bm.png,18,82.62,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_020,20,p00020,firstname lastname lrODIs Batsmen20,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ie.png,t004,Ireland,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ie.png,20,81.79,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_021,21,p00021,firstname lastname lrODIs Batsmen21,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/af.png,t005,Afghanistan,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/af.png,14,80.97,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_022,22,p00022,firstname lastname lrODIs Batsmen22,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/np.png,t006,Nepal,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/np.png,35,80.16,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_023,23,p00023,firstname lastname lrODIs Batsmen23,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pg.png,t007,Papua New Guinea,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pg.png,48,79.36,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_024,24,p00024,firstname lastname lrODIs Batsmen24,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/om.png,t008,Oman,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/om.png,11,78.57,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_025,25,p00025,firstname lastname lrODIs Batsmen25,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bh.png,t001,Bahrain,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bh.png,13,77.78,2024,February,ODIs,Batsmen
