Ref,Rank,Team_ref,Team,Team Flag Link,Matches,Points,Year,Month,Format
aaTeamsODIs2023_001,1,t001,AustraliaODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/au.png,44,99.00,2023,December,ODIs
aaTeamsODIs2023_002,2,t002,EnglandODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-eng.png,38,98.01,2023,December,ODIs
aaTeamsODIs2023_003,3,t003,South AfricaODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/za.png,20,97.03,2023,December,ODIs
aaTeamsODIs2023_004,4,t004,West IndiesODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/wi.png,41,96.06,2023,December,ODIs
aaTeamsODIs2023_005,5,t005,New ZealandODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nz.png,22,95.10,2023,December,ODIs
aaTeamsODIs2023_006,6,t006,IndiaODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/in.png,35,94.15,2023,December,ODIs
aaTeamsODIs2023_007,7,t007,PakistanODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pk.png,48,93.21,2023,December,ODIs
aaTeamsODIs2023_008,8,t008,Sri LankaODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/lk.png,25,92.27,2023,December,ODIs
aaTeamsODIs2023_009,9,t001,CanadaODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ca.png,19,91.35,2023,December,ODIs
aaTeamsODIs2023_010,10,t002,ZimbabweODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/zw.png,14,90.44,2023,December,ODIs
aaTeamsODIs2023_011,11,t003,BangladeshODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bd.png,31,89.53,2023,December,ODIs
aaTeamsODIs2023_012,12,t004,United Arab EmiratesODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ae.png,35,88.64,2023,December,ODIs
aaTeamsODIs2023_013,13,t005,NetherlandsODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nl.png,41,87.75,2023,December,ODIs
aaTeamsODIs2023_014,14,t006,KenyaODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ke.png,40,86.87,2023,December,ODIs
aaTeamsODIs2023_015,15,t007,ScotlandODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-sct.png,40,86.01,2023,December,ODIs
aaTeamsODIs2023_016,16,t008,NamibiaODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/na.png,26,85.15,2023,December,ODIs
aaTeamsODIs2023_017,17,t001,Hong KongODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hk.png,16,84.29,2023,December,ODIs
aaTeamsODIs2023_018,18,t002,United States of AmericaODIsaa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/us.png,20,83.45,2023,December,ODIs
