Ref,Rank,Player_ref,Player,Player Image Link,Team_ref,Team,Team Flag Link,Matches,Points,Year,Month,Format,Category
annual_awardsT20IsBatsmen2023_001,1,p00001,firstname lastname aaT20Is Batsmen1,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/au.png,t001,Australia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/au.png,49,99.00,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_002,2,p00002,firstname lastname aaT20Is Batsmen2,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-eng.png,t002,England,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-eng.png,12,98.01,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_003,3,p00003,firstname lastname aaT20Is Batsmen3,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/za.png,t003,South Africa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/za.png,14,97.03,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_004,4,p00004,firstname lastname aaT20Is Batsmen4,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/wi.png,t004,West Indies,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/wi.png,42,96.06,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_005,5,p00005,firstname lastname aaT20Is Batsmen5,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nz.png,t005,New Zealand,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nz.png,44,95.10,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_006,6,p00006,firstname lastname aaT20Is Batsmen6,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/in.png,t006,India,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/in.png,42,94.15,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_007,7,p00007,firstname lastname aaT20Is Batsmen7,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pk.png,t007,Pakistan,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pk.png,20,93.21,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_008,8,p00008,firstname lastname aaT20Is Batsmen8,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/lk.png,t008,Sri Lanka,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/lk.png,10,92.27,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_009,9,p00009,firstname lastname aaT20Is Batsmen9,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ca.png,t001,Canada,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ca.png,33,91.35,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_010,10,p00010,firstname lastname aaT20Is Batsmen10,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/zw.png,t002,Zimbabwe,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/zw.png,36,90.44,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_011,11,p00011,firstname lastname aaT20Is Batsmen11,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bd.png,t003,Bangladesh,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bd.png,14,89.53,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_012,12,p00012,firstname lastname aaT20Is Batsmen12,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ae.png,t004,United Arab Emirates,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ae.png,43,88.64,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_013,13,p00013,firstname lastname aaT20Is Batsmen13,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nl.png,t005,Netherlands,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nl.png,16,87.75,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_014,14,p00014,firstname lastname aaT20Is Batsmen14,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ke.png,t006,Kenya,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ke.png,41,86.87,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_015,15,p00015,firstname lastname aaT20Is Batsmen15,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-sct.png,t007,Scotland,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-sct.png,30,86.01,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_016,16,p00016,firstname lastname aaT20Is Batsmen16,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/na.png,t008,Namibia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/na.png,35,85.15,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_017,17,p00017,firstname lastname aaT20Is Batsmen17,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hk.png,t001,Hong Kong,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hk.png,13,84.29,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_018,18,p00018,firstname lastname aaT20Is Batsmen18,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/us.png,t002,United States of America,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/us.png,18,83.45,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_019,19,p00019,firstname lastname aaT20Is Batsmen19,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bm.png,t003,Bermuda,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bm.png,12,82.62,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_020,20,p00020,firstname lastname aaT20Is Batsmen20,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ie.png,t004,Ireland,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ie.png,12,81.79,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_021,21,p00021,firstname lastname aaT20Is Batsmen21,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/af.png,t005,Afghanistan,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/af.png,12,80.97,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_022,22,p00022,firstname lastname aaT20Is Batsmen22,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/np.png,t006,Nepal,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/np.png,18,80.16,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_023,23,p00023,firstname lastname aaT20Is Batsmen23,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pg.png,t007,Papua New Guinea,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pg.png,33,79.36,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_024,24,p00024,firstname lastname aaT20Is Batsmen24,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/om.png,t008,Oman,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/om.png,44,78.57,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_025,25,p00025,firstname lastname aaT20Is Batsmen25,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bh.png,t001,Bahrain,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bh.png,19,77.78,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_026,26,p00026,firstname lastname aaT20Is Batsmen26,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/kw.png,t002,Kuwait,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/kw.png,49,77.00,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_027,27,p00027,firstname lastname aaT20Is Batsmen27,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mv.png,t003,Maldives,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mv.png,44,76.23,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_028,28,p00028,firstname lastname aaT20Is Batsmen28,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sa.png,t004,Saudi Arabia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sa.png,42,75.47,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_029,29,p00029,firstname lastname aaT20Is Batsmen29,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/qa.png,t005,Qatar,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/qa.png,16,74.72,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_030,30,p00030,firstname lastname aaT20Is Batsmen30,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ph.png,t006,Philippines,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ph.png,49,73.97,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_031,31,p00031,firstname lastname aaT20Is Batsmen31,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/vu.png,t007,Vanuatu,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/vu.png,47,73.23,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_032,32,p00032,firstname lastname aaT20Is Batsmen32,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mt.png,t008,Malta,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mt.png,20,72.50,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_033,33,p00033,firstname lastname aaT20Is Batsmen33,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/es.png,t001,Spain,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/es.png,17,71.77,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_034,34,p00034,firstname lastname aaT20Is Batsmen34,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bz.png,t002,Belize,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bz.png,16,71.06,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_035,35,p00035,firstname lastname aaT20Is Batsmen35,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mx.png,t003,Mexico,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mx.png,31,70.34,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_036,36,p00036,firstname lastname aaT20Is Batsmen36,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cr.png,t004,Costa Rica,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cr.png,33,69.64,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_037,37,p00037,firstname lastname aaT20Is Batsmen37,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pa.png,t005,Panama,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pa.png,40,68.94,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_038,38,p00038,firstname lastname aaT20Is Batsmen38,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/be.png,t006,Belgium,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/be.png,17,68.26,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_039,39,p00039,firstname lastname aaT20Is Batsmen39,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/de.png,t007,Germany,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/de.png,36,67.57,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_040,40,p00040,firstname lastname aaT20Is Batsmen40,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ng.png,t008,Nigeria,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ng.png,30,66.90,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_041,41,p00041,firstname lastname aaT20Is Batsmen41,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bw.png,t001,Botswana,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bw.png,37,66.23,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_042,42,p00042,firstname lastname aaT20Is Batsmen42,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gh.png,t002,Ghana,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gh.png,37,65.57,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_043,43,p00043,firstname lastname aaT20Is Batsmen43,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ug.png,t003,Uganda,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ug.png,43,64.91,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_044,44,p00044,firstname lastname aaT20Is Batsmen44,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/it.png,t004,Italy,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/it.png,33,64.26,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_045,45,p00045,firstname lastname aaT20Is Batsmen45,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gg.png,t005,Guernsey,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gg.png,18,63.62,2023,December,T20Is,Batsmen
annual_awardsT20IsBatsmen2023_046,46,p00046,firstname lastname aaT20Is Batsmen46,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/je.png,t006,Jersey,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/je.png,24,62.98,2023,December,T20Is,Batsmen
