Ref,Rank,Team_ref,Team,Team Flag Link,Matches,Points,Year,Month,Format
lrTeamsT20Is2024_001,1,t001,AustraliaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/au.png,42, 99.00 ,2024,February,T20Is
lrTeamsT20Is2024_002,2,t002,EnglandT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-eng.png,35, 98.01 ,2024,February,T20Is
lrTeamsT20Is2024_003,3,t003,South AfricaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/za.png,38, 97.03 ,2024,February,T20Is
lrTeamsT20Is2024_004,4,t004,West IndiesT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/wi.png,11, 96.06 ,2024,February,T20Is
lrTeamsT20Is2024_005,5,t005,New ZealandT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nz.png,19, 95.10 ,2024,February,T20Is
lrTeamsT20Is2024_006,6,t006,IndiaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/in.png,36, 94.15 ,2024,February,T20Is
lrTeamsT20Is2024_007,7,t007,PakistanT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pk.png,28, 93.21 ,2024,February,T20Is
lrTeamsT20Is2024_008,8,t008,Sri LankaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/lk.png,46, 92.27 ,2024,February,T20Is
lrTeamsT20Is2024_009,9,t001,CanadaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ca.png,36, 91.35 ,2024,February,T20Is
lrTeamsT20Is2024_010,10,t002,ZimbabweT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/zw.png,25, 90.44 ,2024,February,T20Is
lrTeamsT20Is2024_011,11,t003,BangladeshT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bd.png,35, 89.53 ,2024,February,T20Is
lrTeamsT20Is2024_012,12,t004,United Arab EmiratesT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ae.png,36, 88.64 ,2024,February,T20Is
lrTeamsT20Is2024_013,13,t005,NetherlandsT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nl.png,50, 87.75 ,2024,February,T20Is
lrTeamsT20Is2024_014,14,t006,KenyaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ke.png,48, 86.87 ,2024,February,T20Is
lrTeamsT20Is2024_015,15,t007,ScotlandT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-sct.png,24, 86.01 ,2024,February,T20Is
lrTeamsT20Is2024_016,16,t008,NamibiaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/na.png,39, 85.15 ,2024,February,T20Is
lrTeamsT20Is2024_017,17,t001,Hong KongT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hk.png,32, 84.29 ,2024,February,T20Is
lrTeamsT20Is2024_018,18,t002,United States of AmericaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/us.png,26, 83.45 ,2024,February,T20Is
lrTeamsT20Is2024_019,19,t003,BermudaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bm.png,24, 82.62 ,2024,February,T20Is
lrTeamsT20Is2024_020,20,t004,IrelandT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ie.png,42, 81.79 ,2024,February,T20Is
lrTeamsT20Is2024_021,21,t005,AfghanistanT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/af.png,13, 80.97 ,2024,February,T20Is
lrTeamsT20Is2024_022,22,t006,NepalT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/np.png,17, 80.16 ,2024,February,T20Is
lrTeamsT20Is2024_023,23,t007,Papua New GuineaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pg.png,11, 79.36 ,2024,February,T20Is
lrTeamsT20Is2024_024,24,t008,OmanT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/om.png,18, 78.57 ,2024,February,T20Is
lrTeamsT20Is2024_025,25,t001,BahrainT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bh.png,50, 77.78 ,2024,February,T20Is
lrTeamsT20Is2024_026,26,t002,KuwaitT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/kw.png,22, 77.00 ,2024,February,T20Is
lrTeamsT20Is2024_027,27,t003,MaldivesT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mv.png,18, 76.23 ,2024,February,T20Is
lrTeamsT20Is2024_028,28,t004,Saudi ArabiaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sa.png,36, 75.47 ,2024,February,T20Is
lrTeamsT20Is2024_029,29,t005,QatarT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/qa.png,26, 74.72 ,2024,February,T20Is
lrTeamsT20Is2024_030,30,t006,PhilippinesT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ph.png,36, 73.97 ,2024,February,T20Is
lrTeamsT20Is2024_031,31,t007,VanuatuT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/vu.png,38, 73.23 ,2024,February,T20Is
lrTeamsT20Is2024_032,32,t008,MaltaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mt.png,49, 72.50 ,2024,February,T20Is
lrTeamsT20Is2024_033,33,t001,SpainT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/es.png,35, 71.77 ,2024,February,T20Is
lrTeamsT20Is2024_034,34,t002,BelizeT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bz.png,34, 71.06 ,2024,February,T20Is
lrTeamsT20Is2024_035,35,t003,MexicoT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mx.png,47, 70.34 ,2024,February,T20Is
lrTeamsT20Is2024_036,36,t004,Costa RicaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cr.png,39, 69.64 ,2024,February,T20Is
lrTeamsT20Is2024_037,37,t005,PanamaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pa.png,33, 68.94 ,2024,February,T20Is
lrTeamsT20Is2024_038,38,t006,BelgiumT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/be.png,44, 68.26 ,2024,February,T20Is
lrTeamsT20Is2024_039,39,t007,GermanyT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/de.png,46, 67.57 ,2024,February,T20Is
lrTeamsT20Is2024_040,40,t008,NigeriaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ng.png,41, 66.90 ,2024,February,T20Is
lrTeamsT20Is2024_041,41,t001,BotswanaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bw.png,44, 66.23 ,2024,February,T20Is
lrTeamsT20Is2024_042,42,t002,GhanaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gh.png,40, 65.57 ,2024,February,T20Is
lrTeamsT20Is2024_043,43,t003,UgandaT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ug.png,31, 64.91 ,2024,February,T20Is
lrTeamsT20Is2024_044,44,t004,ItalyT20Islr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/it.png,36, 64.26 ,2024,February,T20Is
