Ref,Rank,Team_ref,Team,Team Flag Link,Matches,Points,Year,Month,Format
hrTeamsT20Is2023_001,1,t001,AustraliaT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/au.png,12,99.00,2023,December,T20Is
hrTeamsT20Is2023_002,2,t002,EnglandT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-eng.png,14,98.01,2023,December,T20Is
hrTeamsT20Is2023_003,3,t003,South AfricaT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/za.png,23,97.03,2023,December,T20Is
hrTeamsT20Is2023_004,4,t004,West IndiesT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/wi.png,39,96.06,2023,December,T20Is
hrTeamsT20Is2023_005,5,t005,New ZealandT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nz.png,46,95.10,2023,December,T20Is
hrTeamsT20Is2023_006,6,t006,IndiaT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/in.png,32,94.15,2023,December,T20Is
hrTeamsT20Is2023_007,7,t007,PakistanT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pk.png,25,93.21,2023,December,T20Is
hrTeamsT20Is2023_008,8,t008,Sri LankaT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/lk.png,42,92.27,2023,December,T20Is
hrTeamsT20Is2023_009,9,t001,CanadaT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ca.png,46,91.35,2023,December,T20Is
hrTeamsT20Is2023_010,10,t002,ZimbabweT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/zw.png,28,90.44,2023,December,T20Is
hrTeamsT20Is2023_011,11,t003,BangladeshT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bd.png,50,89.53,2023,December,T20Is
hrTeamsT20Is2023_012,12,t004,United Arab EmiratesT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ae.png,15,88.64,2023,December,T20Is
hrTeamsT20Is2023_013,13,t005,NetherlandsT20Ishr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nl.png,30,87.75,2023,December,T20Is
